stop,line,stopnumber,location,stoptype
Minamimori-machi,Sakaisuji,K13,Ōsaka-fu Ōsaka-shi Kita-ku Minamimori-chō 2-Chōme 1,local;semi-express
Ōgimachi,Sakaisuji,K12,Ōsaka-fu Ōsaka-shi Kita-ku Tenjinbashi 4-Chōme 8-3,local;semi-express
Tenjinbashi-Suji-Roku-Chōme,Senri;Sakaisuji,K11,Ōsaka-fu Ōsaka-shi Kita-ku Tenjinbashi 6-Chōme ,local;semi-express
Kunijima,Senri,HK-87,Ōsaka-fu Ōsaka-shi Higashi-Yodogawa-ku Kunijima 2-Chōme 12-3,local
Shimo-Shinjō,Senri,HK-88,Ōsaka-fu Ōsaka-shi Higashi-Yodogawa-ku Shimo-Shinjō 5-Chōme 1-21,local
Suita,Senri,HK-89,Ōsaka-fu Suita-shi Nishinoshō-chō 12-21,local
Toyotsu,Senri,HK-90,Ōsaka-fu Suita-shi Tarumi-chō 1-Chōme 1-4,local
Kandai-mae,Senri,HK-91,Ōsaka-fu Suita-shi Yamate-chō 3-Chōme 8-19,local
Senriyama,Senri,HK-92,Ōsaka-fu Suita-shi Senriyama-Nishi 5-Chōme 1-3,local
Minami-Senri,Senri,HK-93,Ōsaka-fu Suita-shi Tsukumodai 1-Chōme 1-1,local
Yamada,Senri,HK-94,Ōsaka-fu Suita-shi Yamada-Nishi 4-Chōme 1-1,local
Kita-Senri,Senri,HK-95,Ōsaka-fu Suita-shi Furuedai 4-Chōme 2-1-1,local
Kami-Katsura,Arashiyama,HK-96,Kyōto-fu Kyōto-shi Nishikyō-ku Kami-Katsura-Miyanogo-chō 33-2,local
Matsuo-Daisha,Arashiyama,HK-97,Kyōto-fu Kyōto-shi Nishikyō-ku Arashiyama-Miyanomae-chō 49,local
Arashiyama,Arashiyama,HK-98,Kyōto-fu Kyōto-shi Nishikyō-ku Arashiyama-Higashi-Ichikawa-chō 7,local
